Canomial_smiles,ID,Activity
CCCCC(CC(=O)O)NC(=O)c1ccc2c(c1)nc(Cc1cccs1)n2C(CC)CC,Reaxys_26688897,6.26
CCC(CC)n1c(Cc2cccs2)nc2cc(C(=O)NC(CC(=O)O)CC3CCCCC3)ccc21,Reaxys_26688898,6.95
CCC(CC)n1c(Cc2cccs2)nc2cc(C(=O)NC(CC(=O)O)CC(C)(C)C)ccc21,Reaxys_26688899,5.59
CCC(CC)n1c(Cc2cccs2)nc2cc(C(=O)N[C@@H](CC(=O)O)CC(C)C)ccc21,Reaxys_26688900,5.38
CC[C@H](C)[C@@H](CC(=O)O)NC(=O)c1ccc2c(c1)nc(Cc1cccs1)n2[C@@H]1CCCC[C@H]1C,Reaxys_26688903,7.32
CCC(CC)n1c(Cc2cccs2)nc2cc(C(=O)N[C@H](CC(=O)O)[C@@H](C)CC)ccc21,Reaxys_26688904,6.94
CCCC(CC(=O)O)NC(=O)c1ccc2c(c1)nc(Cc1cccs1)n2[C@@H]1CCCC[C@H]1C,Reaxys_26688905,6.71
CCCCC(CC(=O)O)NC(=O)c1ccc2c(c1)nc(Cc1cccs1)n2[C@@H]1CCCC[C@H]1C,Reaxys_26688906,6.8
CCCCC(NC(=O)c1ccc2c(c1)nc(Cc1cccs1)n2C(CC)CC)C(C)(C)C(=O)O,Reaxys_26688908,6.76
CCC(CC)C(CC(=O)O)NC(=O)c1ccc2c(c1)nc(Cc1cccs1)n2C(CC)CC,Reaxys_26688909,6.24
CCC(CC)n1c(Cc2cccs2)nc2cc(C(=O)N[C@H](CC(=O)O)CC3CCCC3)ccc21,Reaxys_26688910,7.34
CCC(CC)n1c(Cc2cccs2)nc2cc(C(=O)NC(CC(C)C)C(C)(C)C(=O)O)ccc21,Reaxys_26688912,6.71
CCCC(NC(=O)c1ccc2c(c1)nc(Cc1cccs1)n2C(CC)CC)C(C)(C)C(=O)O,Reaxys_26688913,6.46
CCC(CC)n1c(Cc2cccs2)nc2cc(C(=O)NC3(CC(=O)O)CCCCC3)ccc21,Reaxys_26688914,6.75
C[C@@H]1CCCC[C@H]1n1c(Cc2cccs2)nc2cc(C(=O)NC3(CC(=O)O)CCCCC3)ccc21,Reaxys_26688915,7.06
CCC(CC)n1c(Cc2cccs2)nc2cc(C(=O)N[C@@H](CC(C)C)[C@@H](O)C(=O)O)ccc21,Reaxys_26688916,7.1
CCC(CC)n1c(Cc2cccs2)nc2cc(C(=O)N[C@@H](CC(C)C)[C@H](O)C(=O)O)ccc21,Reaxys_26688917,7.74
CC(C)C[C@@H](CCC(=O)O)NC(=O)c1ccc2c(c1)nc(Cc1cccs1)n2[C@@H]1CCCC[C@H]1C,Reaxys_26688918,6.75
CCC(CC)n1c(Cc2cccs2)nc2cc(C(=O)N[C@H](CCC(=O)O)[C@@H](C)CC)ccc21,Reaxys_26688919,7.14
CC[C@H](C)[C@@H](CCC(=O)O)NC(=O)c1ccc2c(c1)nc(Cc1cccs1)n2[C@@H]1CCCC[C@H]1C,Reaxys_26688920,7.33
CCC(CC)n1c(Cc2cccs2)nc2cc(C(=O)N[C@@H](CC(C)C)[C@@H](O)CC(=O)O)ccc21,Reaxys_26688923,7.18
CCC(CC)n1c(Cc2cccs2)nc2cc(C(=O)N[C@@H](CC(C)C)[C@H](O)CC(=O)O)ccc21,Reaxys_26688924,7.21
